descripcio,curso,ciclo,tipo,adm,con,eco,neg,fin,chg_ciclo,chg_codigo,codigo_old,nuevo,modifica,creditos,ht,hp,horas
CONTABILIDAD GENERAL,EG006,2,O,,,,,,ciclo,,,,,,,,
FUNDAMENTOS CRISTIANOS DE LA ECONOMIA Y LA EMPRESA,100068,6,O,,,,,,ciclo,,,,,,,,
FUNDAMENTOS FINANCIEROS,EG010,3,O,,,,,,ciclo,,,,,,,,
FINANZAS CORPORATIVAS,110053,7,O,,,,,,ciclo,,,,,,,,
SISTEMAS DE COSTOS,EG012,3,O,,,,,,ciclo,,,,,,,,
DIRECCION ESTRATEGICA,EG014,8,O,,,,,,ciclo,,,,,,,,
PRACTICA PRE PROFESIONAL I - ADM,PP1ADM,9,O,,,,,,,cod_curso,100198,,,6,2,8,10
PRACTICA PRE PROFESIONAL II - ADM,PP2ADM,10,O,,,,,,,cod_curso,100199,,,6,2,8,10
TENDENCIAS DE LA ADMINISTRACION,ADM001,4,O,,,,,,ciclo,,,,,,,,
GESTION DE MARKETING,100070,6,O,,,,,,ciclo,,,,,,,,
GESTION DEL TALENTO HUMANO,ADM010,5,O,,,,,,ciclo,cod_curso,100206,,,3,2,2,4
SISTEMAS DE GESTION DE LA CALIDAD,ADM013,7,O,,,,,,ciclo,cod_curso,100170,,,3,2,2,4
LOGISTICA,100165,6,O,,,,,,ciclo,,,,,,,,
INVESTIGACION DE MERCADOS,100164,7,O,,,,,,ciclo,,,,,,,,
GESTION DE PROCESOS EMPRESARIALES,ADM011,5,O,,,,,,ciclo,cod_curso,100166,,,3,2,2,4
COSTOS Y COTIZACIONES INTERNACIONALES,ADM007,9,O,,,,,,ciclo,,,,,,,,
MARKETING INTERNACIONAL,100174,8,O,,,,,,ciclo,,,,,,,,
CONTABILIDAD COMERCIAL,CON014,4,O,,,,,,ciclo,cod_curso,100184,,,3,2,2,4
CONTABILIDAD INTERMEDIA,CON009,5,O,,,,,,ciclo,,,,,,,,
CONTABILIDAD SUPERIOR,CON001,7,O,,,,,,,,,,,,,,
CONTABILIDAD INDUSTRIAL,CON015,7,O,,,,,,,cod_curso,100185,,,3,2,2,4
AUDITORIA FINANCIERA,CON003,6,O,,,,,,ciclo,,,,,,,,
AUDITORIA ADMINISTRATIVA,CON004,8,O,,,,,,ciclo,,,,,,,,
CONTABILIDAD GUBERNAMENTAL,CON011,9,O,,,,,,ciclo,cod_curso,100197,,,4,4,0,4
BANCA E INSTRUMENTOS FINANCIEROS,140055,8,O,,,,,,ciclo,,,,,,,,
CONTABILIDAD DE ENTIDADES FINANCIERAS Y DE SEGUROS,CON012,9,O,,,,,,ciclo,cod_curso,100192,,,4,4,0,4
ANALISIS MATEMATICO 2,ECO007,4,O,,,,,,ciclo,,,,,,,,
COMERCIO INTERNACIONAL,100176,7,O,,,,,,ciclo,,,,,,,,
HISTORIA DEL PENSAMIENTO ECONOMICO,140069,6,O,,,,,,ciclo,,,,,,,,
MICROECONOMIA AVANZADA,ECO001,5,O,,,,,,ciclo,,,,,,,,
POLITICA ECONOMICA,ECO003,8,O,,,,,,ciclo,,,,,,,,
PROYECTOS SOCIALES DE INVERSION,ECO004,10,O,,,,,,ciclo,,,,,,,,
POLITICA PUBLICA,ECO010,9,O,,,,,,ciclo,cod_curso,120019,,,3,2,2,4
INGLES (Ciclo 2 C. IDIOMAS UCSS),ING02,1,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 3 C. IDIOMAS UCSS),ING03,3,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 4 C. IDIOMAS UCSS),ING04,4,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 5 C. IDIOMAS UCSS),ING05,5,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 6 C. IDIOMAS UCSS),ING06,5,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 7 C. IDIOMAS UCSS),ING07,6,O,,,,,,ciclo,,,,,,,,
INGLES (Ciclo 9 C. IDIOMAS UCSS),ING09,7,O,,,,,,ciclo,,,,,,,,
PRACTICA PRE PROFESIONAL I - CON,PP1CON,9,O,,,,,,,cod_curso,110074,,,6,2,8,10
PRACTICA PRE PROFESIONAL II - CON,PP2CON,10,O,,,,,,,cod_curso,110076,,,6,2,8,10
PRACTICA PRE PROFESIONAL I - ECO,PP1ECO,9,O,,,,,,,cod_curso,140081,,,6,2,8,10
PRACTICA PRE PROFESIONAL II - ECO,PP2ECO,10,O,,,,,,,cod_curso,140082,,,6,2,8,10
APLICATIVOS FINANCIEROS,EG020,4,O,1,1,1,1,1,,,,1,,3,2,2,4
SEGURIDAD Y SALUD EN EL TRABAJO,ADM012,8,O,1,0,0,0,0,,,,1,,4,4,0,4
ETICA PROFESIONAL - CONTABILIDAD,CON013,10,O,0,1,0,0,1,,,,1,,3,2,2,4
PROYECTOS DE INVERSION - PLAN DE NEGOCIOS,ADM003,8,O,1,0,1,1,0,,,,,1,,,,
MATEMATICA BASICA I,MAT11,1,O,1,1,1,1,1,,,,1,,3,2,2,4
MATEMATICA BASICA II,MAT21,2,O,1,1,1,1,1,,,,1,,3,2,2,4
